発売日,希望小売価格,カード枚数
1996年10月20日,300円,10
1997年3月5日,300円,10
1997年6月21日,300円,10
1997年11月21日,300円,10
1998年10月24日,300円,10
1999年6月25日,300円,10
2000年2月4日,300円,10
2000年7月7日,300円,10
2000年11月23日,300円,10
2001年4月20日,300円,10
2001年12月1日,191円,5
2002年3月8日,191円,5
2002年5月24日,191円,5
2002年8月23日,191円,5
2002年10月4日,191円,5
2003年1月31日,300円,11
2003年4月18日,300円,11
2003年6月25日,300円,11
2003年10月24日,300円,10
2004年1月16日,300円,11
2004年4月9日,300円,11
2004年7月1日,300円,11
2004年10月15日,300円,11
2005年4月8日,300円,11
2005年6月30日,300円,11
2005年10月28日,300円,11
2006年1月27日,300円,10
2006年3月10日,300円,11
2006年6月29日,300円,11
